cde_cds_code,cde_school_cde,cde_districtname,cde_school_address,cde_closed_school,lausd_local_district,charterorother,survey_status,charterschool,cde_mingrade,cde_maxgrade,schoolenrollment,cde_englishlearnersschool,cde_freereducedmealsschool,cde_aioran_pct,cde_asian_pct,cde_pi_pct,cde_filipino_pct,cde_latino_pct,cde_afamnh_pct,cde_whitenh_pct,cde_twoormore_pct,cde_nonerprt_pct,cde_dance_course_count,cde_music_course_count,cde_drama_course_count,cde_visual_arts_course_count,cde_media_arts_course_count,cde_estimatedfte_sum_dance,cde_estimatedfte_sum_music,cde_estimatedfte_sum_drama,cde_estimatedfte_sum_visualarts,cde_estimatedfte_sum_mediaarts,cde_9th_grade_dance_enrollment,cde_10th_grade_dance_enrollment,cde_11th_grade_dance_enrollment,cde_12th_grade_dance_enrollment,cde_9th_grade_music_enrollment,cde_10th_grade_music_enrollment,cde_11th_grade_music_enrollment,cde_12th_grade_music_enrollment,cde_9th_grade_drama_enrollment,cde_10th_grade_drama_enrollment,cde_11th_grade_drama_enrollment,cde_12th_grade_drama_enrollment,cde_9th_grade_visual_arts_enrollment,cde_10th_grade_visual_arts_enrollment,cde_11th_grade_visual_arts_enrollment,cde_12th_grade_visual_arts_enrollment,cde_9th_grade_media_arts_enrollment,cde_10th_grade_media_arts_enrollment,cde_11th_grade_media_arts_enrollment,cde_12th_grade_media_arts_enrollment,cde_9th_grade_dance_courses,cde_10th_grade_dance_courses,cde_11th_grade_dance_courses,cde_12th_grade_dance_courses,cde_9th_grade_music_courses,cde_10th_grade_music_courses,cde_11th_grade_music_courses,cde_12th_grade_music_courses,cde_9th_grade_drama_courses,cde_10th_grade_drama_courses,cde_11th_grade_drama_courses,cde_12th_grade_drama_courses,cde_9th_grade_visual_arts_courses,cde_10th_grade_visual_arts_courses,cde_11th_grade_visual_arts_courses,cde_12th_grade_visual_arts_courses,cde_9th_grade_media_arts_courses,cde_10th_grade_media_arts_courses,cde_11th_grade_media_arts_courses,cde_12th_grade_media_arts_courses,elementary,es_prektk,es_kinder,es_1st,es_2nd,es_3rd,es_4th,es_5th,es_6th,es_7th,es_8th,es_dance,esd_prektk,esd_kinder,esd_1st,esd_2nd,esd_3rd,esd_4th,esd_5th,esd_6th,esd_7th,esd_8th,esd_prektk_students,esd_kinder_students,esd_1st_students,esd_2nd_students,esd_3rd_students,esd_4th_students,esd_5th_students,esd_6th_students,esd_7th_students,esd_8th_students,esd_fte_rec,esd_teachingartist_specify,es_music,esm_prektk,esm_kinder,esm_1st,esm_2nd,esm_3rd,esm_4th,esm_5th,esm_6th,esm_7th,esm_8th,esm_prektk_students,esm_kinder_students,esm_1st_students,esm_2nd_students,esm_3rd_students,esm_4th_students,esm_5th_students,esm_6th_students,esm_7th_students,esm_8th_students,esm_fte_rec,esm_teachingartist_specify,es_theater,est_prektk,est_kinder,est_1st,est_2nd,est_3rd,est_4th,est_5th,est_6th,est_7th,est_8th,est_prektk_students,est_kinder_students,est_1st_students,est_2nd_students,est_3rd_students,est_4th_students,est_5th_students,est_6th_students,est_7th_students,est_8th_students,est_fte_rec,est_teachingartist_specify,es_visualarts,esva_prektk,esva_kinder,esva_1st,esva_2nd,esva_3rd,esva_4th,esva_5th,esva_6th,esva_7th,esva_8th,esva_prektk_students,esva_kinder_students,esva_1st_students,esva_2nd_students,esva_3rd_students,esva_4th_students,esva_5th_students,esva_6th_students,esva_7th_students,esva_8th_students,esva_fte_rec,esva_teachingartist_specify,es_mediaarts,esma_prektk,esma_kinder,esma_1st,esma_2nd,esma_3rd,esma_4th,esma_5th,esma_6th,esma_7th,esma_8th,esma_prektk_students,esma_kinder_students,esma_1st_students,esma_2nd_students,esma_3rd_students,esma_4th_students,esma_5th_students,esma_6th_students,esma_7th_students,esma_8th_students,esma_fte_rec,esma_teachingartist_specify,esas_dance,esas_music,esas_theater,esas_visualarts,esas_mediaarts,estypeartscurric,es_organization,secondary,ss_9th,ss_10th,ss_11th,ss_12th,ss_dance,ssd_teachingartist_specify,ss_music,ssm_teachingartist_specify,ss_theater,sst_teachingartist_specify,ss_visualarts,ssva_teachingartist_specify,ss_mediaarts,ssma_teachingartist_specify,ssas_dance,ssas_music,ssas_theater,ssas_visualarts,ssas_mediaarts,ss_organization,datayear
19101990122077,Smith Camp,,"5300 West Avenue l, Lancaster, CA, 93536",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990123604,Phoenix Academy Residential Education Center,,"11600 Eldrige Avenue, Lakeview Terrace, CA, 91342-6522",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,26,39.28571429,75,0,0,0,0,88.46153846,0,11.53846154,0,0,0,0,0,1,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990127498,Environmental Charter Middle - Inglewood,,"3600 West Imperial Highway, Inglewood, CA, 90303-2714",,,Los Angeles County Office of Education,Not complete,TRUE,6,8,303,34.65346535,72.93729373,0,0,0,0,91.08910891,7.590759076,0.330033003,0,0.99009901,0,0,0,6,0,0,0,0,0.4998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990127522,Optimist Charter,,"6957 North Figueroa Street, Los Angeles, CA, 90042-1245",,,Los Angeles County Office of Education,Not complete,TRUE,7,12,94,15.95744681,58.5106383,0,1.063829787,0,0,65.95744681,23.40425532,7.446808511,2.127659574,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990128025,Lashon Academy,,"7477 Kester Avenue, Van Nuys, CA, 91405-1722",,,Charter Management Organization,Not complete,TRUE,K,6,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990134361,LA's Promise Charter Middle #1,,"1755 West 52nd Street, Los Angeles, CA, 90062-2347",,,Los Angeles County Office of Education,Not complete,TRUE,6,8,184,33.15217391,92.93478261,0.543478261,1.086956522,0,0,61.95652174,34.23913043,0,2.173913043,0,0,0,0,4,0,0,0,0,0.4444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990135368,Alma Fuerte Public,,"119 West Palm Street, Altadena, CA, 91001-4375",,,Los Angeles County Office of Education,Not complete,TRUE,K,8,73,30.55555556,55.55555556,0,2.739726027,4.109589041,0,47.94520548,16.43835616,24.65753425,4.109589041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990135582,LA's Promise Charter High #1,,"1755 West 52nd Street, Los Angeles, CA, 90062-2347",,,Los Angeles County Office of Education,Not complete,TRUE,9,12,56,25,92.85714286,0,0,0,0,53.57142857,44.64285714,0,1.785714286,0,0,0,1,1,0,0,0,0.1429,0.2,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990136119,Animo City of Champions Charter High,,"9330 South Eighth Avenue, Inglewood, CA, 90305-2914",,,Green Dot Public Schools,Not complete,TRUE,9,12,164,12.80487805,84.75609756,0,0,0,0,47.56097561,51.2195122,0.609756098,0.609756098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990137166,Soleil Academy Charter,,"3900 Agnes Avenue, Lynwood, CA, 90262-4415",,,Charter Management Organization,Not complete,TRUE,K,5,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101991995232,Los Angeles County Special Education,,"9300 Imperial Highway, Downey, CA, 90242-2813",,,Los Angeles County Office of Education,Not complete,FALSE,K,12,448,43.17673378,0,0,2.678571429,0,0.669642857,73.88392857,16.96428571,5.357142857,0.446428571,0,0,0,0,7,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,TRUE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101996116883,Odyssey Charter,,"725 West Altadena Drive, Altadena, CA, 91001-4103",,,Los Angeles County Office of Education,Not complete,TRUE,K,8,483,3.3126294,27.74327122,0.207039337,3.3126294,0,0,31.4699793,7.660455487,45.54865424,11.80124224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19642121930056,Cerritos High,ABC Unified,"12500 East 183rd Street, Cerritos, CA, 90703-8450",,,,Not complete,FALSE,9,12,2186,5.992680695,30.19213175,0.182982617,42.13174748,0.640439158,16.69716377,25.34309241,6.26715462,5.809698079,2.881976212,0.045745654,0,9,5,9,6,0,1.8,0.8,1.8,1.05,0,0,0,0,52,50,92,158,9,6,32,54,28,43,88,105,1,11,37,113,0,0,0,0,5,8,9,9,2,5,4,4,7,9,9,9,1,5,6,6,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19642121930361,Artesia High,ABC Unified,"12108 East Del Amo Boulevard, Lakewood, CA, 90715-1516",,,,Not complete,FALSE,9,12,1482,16.32928475,74.08906883,0.337381916,5.870445344,1.282051282,6.882591093,70.9851552,9.446693657,3.846153846,0.877192982,0.472334683,0,6,0,6,24,0,1.0002,0,1.0002,2.6668,0,0,0,0,55,81,55,44,0,0,0,0,61,43,98,55,245,153,204,170,0,0,0,0,6,6,6,6,0,0,0,0,4,6,6,6,20,22,24,24,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
